"entrezgene"	"dname"	"doid"
6392	"Abdominal Neoplasms"	"122"
2153	"Abortion, Habitual"	"11946"
2162	"Abortion, Habitual"	"11946"
3117	"Abortion, Habitual"	"11946"
3119	"Abortion, Habitual"	"11946"
3123	"Abortion, Habitual"	"11946"
3162	"Abortion, Habitual"	"11946"
3458	"Abortion, Habitual"	"11946"
5054	"Abortion, Habitual"	"11946"
7124	"Abortion, Habitual"	"11946"
1636	"Abortion, Habitual"	"11946"
2261	"Acanthosis Nigricans"	"3138"
525	"Acidosis, Renal Tubular"	"14219"
8671	"Acidosis, Renal Tubular"	"14219"
2688	"Acromegaly"	"2449"
2778	"Acromegaly"	"2449"
3479	"Acromegaly"	"2449"
3630	"Acromegaly"	"2449"
1565	"Addison Disease"	"13774"
3117	"Addison Disease"	"13774"
3123	"Addison Disease"	"13774"
4261	"Addison Disease"	"13774"
26191	"Addison Disease"	"13774"
100507436	"Addison Disease"	"13774"
326	"Addison Disease"	"13774"
1001	"Adenocarcinoma"	"299"
1012	"Adenocarcinoma"	"299"
10276	"Adenocarcinoma"	"299"
1029	"Adenocarcinoma"	"299"
10381	"Adenocarcinoma"	"299"
1080	"Adenocarcinoma"	"299"
11065	"Adenocarcinoma"	"299"
1152	"Adenocarcinoma"	"299"
1236	"Adenocarcinoma"	"299"
1272	"Adenocarcinoma"	"299"
1287	"Adenocarcinoma"	"299"
1308	"Adenocarcinoma"	"299"
1364	"Adenocarcinoma"	"299"
1365	"Adenocarcinoma"	"299"
1366	"Adenocarcinoma"	"299"
1400	"Adenocarcinoma"	"299"
1432	"Adenocarcinoma"	"299"
1524	"Adenocarcinoma"	"299"
154	"Adenocarcinoma"	"299"
1543	"Adenocarcinoma"	"299"
1544	"Adenocarcinoma"	"299"
1545	"Adenocarcinoma"	"299"
1548	"Adenocarcinoma"	"299"
1553	"Adenocarcinoma"	"299"
1583	"Adenocarcinoma"	"299"
1612	"Adenocarcinoma"	"299"
1728	"Adenocarcinoma"	"299"
1871	"Adenocarcinoma"	"299"
1938	"Adenocarcinoma"	"299"
1984	"Adenocarcinoma"	"299"
2023	"Adenocarcinoma"	"299"
2067	"Adenocarcinoma"	"299"
2068	"Adenocarcinoma"	"299"
2099	"Adenocarcinoma"	"299"
2101	"Adenocarcinoma"	"299"
2176	"Adenocarcinoma"	"299"
2247	"Adenocarcinoma"	"299"
2254	"Adenocarcinoma"	"299"
2263	"Adenocarcinoma"	"299"
2324	"Adenocarcinoma"	"299"
23405	"Adenocarcinoma"	"299"
2353	"Adenocarcinoma"	"299"
23600	"Adenocarcinoma"	"299"
23705	"Adenocarcinoma"	"299"
2475	"Adenocarcinoma"	"299"
2678	"Adenocarcinoma"	"299"
27113	"Adenocarcinoma"	"299"
2833	"Adenocarcinoma"	"299"
2886	"Adenocarcinoma"	"299"
29108	"Adenocarcinoma"	"299"
2932	"Adenocarcinoma"	"299"
2936	"Adenocarcinoma"	"299"
2950	"Adenocarcinoma"	"299"
301	"Adenocarcinoma"	"299"
3091	"Adenocarcinoma"	"299"
3123	"Adenocarcinoma"	"299"
3135	"Adenocarcinoma"	"299"
3146	"Adenocarcinoma"	"299"
3159	"Adenocarcinoma"	"299"
3162	"Adenocarcinoma"	"299"
3172	"Adenocarcinoma"	"299"
324	"Adenocarcinoma"	"299"
3265	"Adenocarcinoma"	"299"
3309	"Adenocarcinoma"	"299"
3315	"Adenocarcinoma"	"299"
3329	"Adenocarcinoma"	"299"
3458	"Adenocarcinoma"	"299"
3553	"Adenocarcinoma"	"299"
3576	"Adenocarcinoma"	"299"
358	"Adenocarcinoma"	"299"
3655	"Adenocarcinoma"	"299"
