"pathway" "deceacelist"
"1" "Nicotine Metabolism" "Crigler-Najjar Syndrome;Opisthorchiasis"
"2" "B Cell Receptor Signaling Pathway" "AGAMMAGLOBULINEMIA, X-LINKED;Lymphoma;Ectodermal Dysplasia;Noonan Syndrome;Incontinentia Pigmenti"
"3" "Cholesterol Biosynthesis" ""
"4" "Complement and Coagulation Cascades" "Factor V Deficiency;Atherosclerosis;Coronary Disease;Brain Ischemia;Hypertension, Pregnancy-Induced;Angioedema;Hemolytic-Uremic Syndrome;Immune Complex Diseases;Immunologic Deficiency Syndromes;Pulmonary Embolism;Blood Coagulation Disorders;Thrombophilia;Sagittal Sinus Thrombosis;Brain Infarction;Behcet Syndrome;Angina, Unstable;Coronary Thrombosis;Abortion, Habitual;Ischemic Attack, Transient;Thrombophlebitis;Nephrotic Syndrome;Pre-Eclampsia;Purpura, Thrombotic Thrombocytopenic;Vascular Diseases;Infarction, Middle Cerebral Artery;Arteriosclerosis;Disseminated Intravascular Coagulation;Hemorrhagic Disorders;Angioedemas, Hereditary;Stomach Ulcer;Osteonecrosis;Arterial Occlusive Diseases;Embolism, Cholesterol;Intracranial Thrombosis;Puerperal Disorders;Hemophilia B;Stroke;Respiratory Distress Syndrome, Adult;Purpura, Schoenlein-Henoch;Hyperhomocysteinemia;Cerebrovascular Disorders;Hemophilia A;Protein C Deficiency;Antiphospholipid Syndrome;Protein S Deficiency;Liver Cirrhosis;Myocardial Infarction;Cerebral Infarction;Retinal Vein Occlusion;Pregnancy Complications, Hematologic"
"5" "TCA Cycle" "Thoracic Neoplasms;Gastrointestinal Stromal Tumors;Abdominal Neoplasms;Adrenal Gland Neoplasms"
"6" "Primary Focal Segmental Glomerulosclerosis FSGS" "Dissociative Disorders"
"7" "Phase I biotransformations, non P450" "Coronary Disease;Amyotrophic Lateral Sclerosis;Celiac Disease;Diabetic Angiopathies;Cholesterol Ester Storage Disease;Agricultural Workers' Diseases;Persian Gulf Syndrome;Dementia, Multi-Infarct;Obstetric Labor, Premature;Hyperemesis Gravidarum;Hyperlipoproteinemia Type II;Diabetic Retinopathy;Multiple Chemical Sensitivity;Myocardial Ischemia;Carotid Artery Diseases;Dementia, Vascular"
"8" "Proteasome Degradation" ""
"9" "EPO Receptor Signaling" "Keratosis, Actinic;Pancreatic Neoplasms;Colonic Neoplasms;Glioblastoma;Hepatitis C;Scleroderma, Systemic;Cholangiocarcinoma;Carcinoma, Mucoepidermoid;Paget Disease, Extramammary;Head and Neck Neoplasms;Lymphoma;Gastroesophageal Reflux;Noonan Syndrome;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Leukemia;Polycythemia;Myeloproliferative Disorders;Cholesteatoma"
"10" "Type III interferon signaling" "Hepatitis C"
"11" "Parkin-Ubiquitin Proteasomal System pathway" ""
"12" "Estrogen metabolism" "BLADDER CANCER;Urinary Bladder Neoplasms;Adenoma;Carcinoma, Small Cell;Echinococcosis;Ovarian Neoplasms;Testicular Neoplasms;Gilbert Disease;Occupational Diseases;Liver Neoplasms;Head and Neck Neoplasms;Cleft Palate;Leiomyoma;Thalassemia;Jaundice, Neonatal;OVARIAN CANCER;Liver Cirrhosis;Endometrial Neoplasms;Carcinoma, Large Cell;Schizophrenia, Paranoid;Kernicterus"
"13" "Fluoropyrimidine Activity" "Nervous System Diseases;Folic Acid Deficiency;Neutropenia;Carcinoma, Non-Small-Cell Lung"
"14" "Glycogen Metabolism" "Glycogen Storage Disease"
"15" "Type II interferon signaling (IFNG)" "Hypertension, Pregnancy-Induced;Severe Acute Respiratory Syndrome;Asthma;Anemia;Spondylitis, Ankylosing;Multiple Sclerosis;Colitis, Ulcerative;Celiac Disease;Dermatomyositis;Mycoplasma Infections;Tuberculosis, Pulmonary;Dengue Hemorrhagic Fever;Enterocolitis, Necrotizing;Behcet Syndrome;Schistosomiasis mansoni;Gingivitis;Lymphadenitis;Fabry Disease;Neutropenia;Diabetes Mellitus, Type 1;Pre-Eclampsia;Sarcoidosis;Glioblastoma;Hepatitis C;Measles;Malaria, Falciparum;Myocarditis;Arthritis, Psoriatic;Uveomeningoencephalitic Syndrome;MERRF Syndrome;Sjogren's Syndrome;Obstetric Labor, Premature;Polymyalgia Rheumatica;Choriocarcinoma;Polycythemia Vera;Hypersensitivity;Nephritis;Dermatitis, Atopic;Multiple Myeloma;Leishmaniasis, Cutaneous;Malaria;BILIARY CIRRHOSIS, PRIMARY, 1;Stomatitis;Graves Disease;Encephalitis;Acquired Immunodeficiency Syndrome;Mycobacterium Infections, Nontuberculous;Schistosomiasis japonica;Candidiasis, Chronic Mucocutaneous;Mycobacterium Infections;Silicosis;Giant Cell Arteritis;Pemphigoid, Benign Mucous Membrane;Mumps;Cystic Fibrosis;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Glomerulonephritis, IGA;Liver Cirrhosis, Biliary;Helicobacter Infections;Hodgkin Disease;Hepatitis B;Bronchiectasis;Virus Diseases;Myeloproliferative Disorders;Boutonneuse Fever"
"16" "Kit receptor signaling pathway" "Carcinoma, Ductal;Keratosis, Actinic;Ovarian Neoplasms;Glioblastoma;Cholangiocarcinoma;Paget Disease, Extramammary;AGAMMAGLOBULINEMIA, X-LINKED;Piebaldism;LEOPARD Syndrome;Lymphoma;Sarcoma, Synovial;Urticaria Pigmentosa;OVARIAN CANCER;Noonan Syndrome;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Leukemia;Myeloproliferative Disorders"
"17" "Nanoparticle-mediated activation of receptor signaling" "Rectal Neoplasms;Thyroid Neoplasms;Keratosis, Actinic;Ovarian Neoplasms;Polycystic Kidney, Autosomal Recessive;Colonic Neoplasms;Glioblastoma;Scleroderma, Systemic;Cholangiocarcinoma;Adenocarcinoma, Papillary;Carcinoma, Mucoepidermoid;Paget Disease, Extramammary;Carcinoma, Squamous Cell;Liver Neoplasms;Multiple Myeloma;Osteosarcoma;Hemangiosarcoma;Gastroesophageal Reflux;Penile Neoplasms;Nevus, Pigmented;OVARIAN CANCER;Noonan Syndrome;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Carcinoma, Non-Small-Cell Lung;Hepatitis B;Adenocarcinoma, Bronchiolo-Alveolar"
"18" "Mitochondrial Gene Expression" ""
"19" "Methylation Pathways" ""
"20" "Matrix Metalloproteinases" "BLADDER CANCER;Urinary Bladder Neoplasms;Carcinoma, Renal Cell;Atherosclerosis;Coronary Disease;Hypertension, Pregnancy-Induced;Spinal Cord Diseases;Skin Neoplasms;Hypertension, Portal;Dermatomyositis;Pemphigus;Endometriosis;Scleroderma, Localized;Varicose Veins;MYELOFIBROSIS;Enterocolitis, Necrotizing;Meningeal Neoplasms;Corneal Ulcer;Cardiovirus Infections;Takayasu Arteritis;Pneumoconiosis;Otitis Media with Effusion;Lyme Neuroborreliosis;Lichen Planus;Malaria, Vivax;Osteochondritis Dissecans;Marfan Syndrome;Carcinoma;Pre-Eclampsia;Aortic Aneurysm, Thoracic;Arthritis, Rheumatoid;Intracranial Aneurysm;Carcinoma, Adenoid Cystic;Uterine Cervical Neoplasms;Scleroderma, Systemic;Arthritis;Myocarditis;Polymyositis;Cholangiocarcinoma;Primary Myelofibrosis;Bronchiolitis Obliterans;Aortic Diseases;Bone Neoplasms;Aortic Aneurysm;Dementia, Multi-Infarct;Fetal Membranes, Premature Rupture;Dermatitis, Irritant;Trachoma;Pyelonephritis;Meningitis, Bacterial;Hantavirus Infections;Aneurysm;Synovitis, Pigmented Villonodular;Paget Disease, Extramammary;Chondrosarcoma;Carcinoma, Squamous Cell;Coronary Restenosis;Diabetic Nephropathies;Heart Failure;Liver Diseases;Aortic Aneurysm, Abdominal;Glomerulonephritis;Hernia, Hiatal;Polycystic Ovary Syndrome;Carotid Stenosis;Carcinoma, Ductal, Breast;Pulmonary Fibrosis;Leishmaniasis, Cutaneous;Brain Neoplasms;Oral Submucous Fibrosis;Mucocutaneous Lymph Node Syndrome;Biliary Atresia;Dermatitis;Bronchopulmonary Dysplasia;Meningioma;Bird Fancier's Lung;Subacute Sclerosing Panencephalitis;Meningitis, Viral;Anaplasmosis;Parotitis;Muscular Dystrophy, Duchenne;Liver Cirrhosis;Melanoma;Cardiomyopathy, Dilated;Carcinoma, Non-Small-Cell Lung;Calcinosis;Kidney Neoplasms;Pulmonary Disease, Chronic Obstructive;Hodgkin Disease;Periodontitis;Dementia, Vascular;Neuromuscular Diseases;Cholangitis, Sclerosing;Paraparesis, Tropical Spastic;Lyme Disease"
"21" "Osteoblast Signaling" "Hyperostosis, Cortical, Congenital;Coronary Disease;Heart Valve Diseases;Osteoporosis;Aortic Valve Stenosis;Dermatofibrosarcoma;Hyperparathyroidism;Parathyroid Diseases;Sarcoma, Endometrial Stromal;Multiple Myeloma;Osteosarcoma;Uremia;Hypercalcemia;Bone Diseases;Rickets;Osteochondrodysplasias;Periodontitis;Myeloproliferative Disorders;Periapical Granuloma"
"22" "Serotonin Receptor 2 and ELK-SRF/GATA4 signaling" "Alzheimer Disease;Keratosis, Actinic;Cholangiocarcinoma;Carcinoma, Mucoepidermoid;Paget Disease, Extramammary;Gastroesophageal Reflux;Irritable Bowel Syndrome;Migraine with Aura;Noonan Syndrome;Dyskinesia, Drug-Induced;Cholesteatoma"
