"pathway" "deceacelist"
"1" "Adrenoleukodystrophy" ""
"2" "Klippel-Trenaunay-Weber Syndrome" ""
"3" "RETICULAR DYSGENESIS" ""
"4" "Fructose Intolerance" "Glycolysis and Gluconeogenesis;Polyol Pathway"
"5" "Scimitar Syndrome" "Hypertrophy Model"
"6" "GASTRIC CANCER" ""
"7" "Alzheimer Disease" "Serotonin Receptor 2 and ELK-SRF/GATA4 signaling;BDNF signaling pathway;Statin Pathway;Alzheimers Disease;Spinal Cord Injury;Vitamin B12 Metabolism;Hypothetical Network for Drug Addiction;Amyotrophic lateral sclerosis (ALS);Integrated Pancreatic Cancer Pathway;Folate Metabolism"
"8" "Androgen-Insensitivity Syndrome" "Androgen receptor signaling pathway;Benzo(a)pyrene metabolism"
"9" "Argininosuccinic Aciduria" "Alanine and aspartate metabolism;Urea cycle and metabolism of amino groups"
"10" "Ataxia Telangiectasia" "Integrated Cancer pathway;DNA Damage Response;G1 to S cell cycle control;Cell Cycle;ATM Signaling Pathway;TP53 Network;miRNA Regulation of DNA Damage Response;TSH signaling pathway;Homologous recombination;Signaling Pathways in Glioblastoma;TFs Regulate miRNAs related to cardiac hypertrophy;miRNAs involved in DNA damage response"
"11" "Darier Disease" ""
"12" "LUNG CANCER" "Gastric cancer network 2;TP53 Network;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;MAPK Signaling Pathway;MAPK Cascade;Signaling Pathways in Glioblastoma"
"13" "Hypokalemic Periodic Paralysis" ""
"14" "PROSTATE CANCER" "Angiogenesis;IL-7 Signaling Pathway;Integrated Cancer pathway;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;Osteopontin Signaling;Oncostatin M Signaling Pathway;Androgen receptor signaling pathway;IL-5 Signaling Pathway;TP53 Network;AGE/RAGE pathway;ErbB Signaling Pathway;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;FSH signaling pathway"
"15" "Osteogenesis Imperfecta" "Osteoblast Signaling;Focal Adhesion;miR-targeted genes in muscle cell - TarBase;Inflammatory Response Pathway;Senescence and Autophagy"
"16" "Hyperostosis, Cortical, Congenital" "Nanoparticle-mediated activation of receptor signaling;Osteoblast Signaling;Inflammatory Response Pathway"
